,Unnamed: 0,Unnamed: 0.1,sys1,sys,sim,gamma_bcc,gamma_fcc,rho_gm3
173,25213,25213,Al1Ti1V1Cu1Mo1Pd1,AlTiVCuMoPd,0.6073,1.3900663461326732,1.291097717913263,7.224984711955553
174,25214,25214,Al1Ti1V1Cu1Mo1Ag1,AlTiVCuMoAg,0.6347,1.3988763569951257,1.3244698845470186,7.063340217272726
183,25383,25383,Al1Ti1V1Zn1Nb1Mo1,AlTiVZnNbMo,0.6514,1.2883127979325597,1.1075105024542409,6.5238930183660795
184,25388,25388,Al1Ti1V1Zn1Nb1Ag1,AlTiVZnNbAg,0.6006,1.1126687952334129,0.966533830782434,6.618800273407933
185,25392,25392,Al1Ti1V1Zn1Nb1Ta1,AlTiVZnNbTa,0.6415,1.2105562083567265,0.9868959925311422,7.7738200974420915
186,25404,25404,Al1Ti1V1Zn1Mo1Ag1,AlTiVZnMoAg,0.6082,1.2191371734029115,1.0955024027213909,6.844437119791231
188,25861,25861,Al1Ti1V1Nb1Mo1Ru1,AlTiVNbMoRu,0.6098,1.2425330489850483,1.0920250841068395,7.256633594910618
189,25863,25863,Al1Ti1V1Nb1Mo1Pd1,AlTiVNbMoPd,0.6016,1.5397228779839358,1.3667485260337364,7.265975622411641
190,25864,25864,Al1Ti1V1Nb1Mo1Ag1,AlTiVNbMoAg,0.6258,1.4448608211646494,1.283477446252019,7.113497635659228
207,26676,26676,Al1Ti1Cr1Mn1Fe1Co1,AlTiCrMnFeCo,0.775,1.050240633887907,0.9904100210848,6.055240571660515
208,26677,26677,Al1Ti1Cr1Mn1Fe1Ni1,AlTiCrMnFeNi,0.787,1.037073949759122,0.9787879788127586,6.05779555142857
209,26678,26678,Al1Ti1Cr1Mn1Fe1Cu1,AlTiCrMnFeCu,0.7848,1.1604368774308291,1.088701072883169,6.089504443069426
210,26679,26679,Al1Ti1Cr1Mn1Fe1Zn1,AlTiCrMnFeZn,0.7731,1.0876421469242117,1.036042357942609,5.882956196210525
211,26682,26682,Al1Ti1Cr1Mn1Fe1Nb1,AlTiCrMnFeNb,0.7682,1.1888778594473464,1.064175809537696,6.213890663374857
212,26683,26683,Al1Ti1Cr1Mn1Fe1Mo1,AlTiCrMnFeMo,0.7739,1.1618539438074635,1.04638092077883,6.454027444941723
213,26684,26684,Al1Ti1Cr1Mn1Fe1Tc1,AlTiCrMnFeTc,0.6216,1.1651171746977578,1.0885140830294613,6.593395914508874
