,Unnamed: 0,old_ID,sys1,sys,sim,gamma_bcc,gamma_fcc,rho_gm3
4748,4748,253,Al1Sc1Nb1Mo1,AlScNbMo,0.7247,0.6532211875714381,0.5986660910199796,5.764771754940078
4749,4749,254,Al1Sc1Nb1Tc1,AlScNbTc,0.5162,0.6617416524699951,0.5209082203384398,5.912205403739836
4750,4750,255,Al1Sc1Nb1Ru1,AlScNbRu,0.6037,0.6239300875622559,0.5836310724400934,6.030286322349725
4751,4751,256,Al1Sc1Nb1Rh1,AlScNbRh,0.5902,0.5180630024197898,0.4954038975078265,6.063627405129602
4752,4752,257,Al1Sc1Nb1Pd1,AlScNbPd,0.5814,0.7036396521783371,0.6481147902089647,6.060537803445489
4753,4753,258,Al1Sc1Nb1Ag1,AlScNbAg,0.6321,0.7356455958129838,0.6489977838097866,5.902242122503259
4754,4754,259,Al1Sc1Nb1Cd1,AlScNbCd,0.5868,0.7130770304962516,0.6533529643339243,5.668017472857142
4755,4755,260,Al1Sc1Nb1La1,AlScNbLa,0.6755,0.6061087623981752,0.5682638488124621,5.192830473697218
4756,4756,261,Al1Sc1Nb1Hf1,AlScNbHf,0.731,0.7832463257636755,0.6821088033832365,6.958903037802197
4757,4757,262,Al1Sc1Nb1Ta1,AlScNbTa,0.7109,0.8151000492039618,0.7222533838425657,7.38757065117117
4758,4758,263,Al1Sc1Nb1W1,AlScNbW,0.5962,0.5834939688530941,0.5349239207249136,7.666425944317879
4764,4764,269,Al1Sc1Nb1Hg1,AlScNbHg,0.5409,0.8611394644691269,0.7922021535280211,7.204514950071257
4765,4765,270,Al1Sc1Mo1Tc1,AlScMoTc,0.5007,0.5260588936834686,0.4543356572347172,6.190599831640951
4766,4766,271,Al1Sc1Mo1Ru1,AlScMoRu,0.616,0.74149153023571,0.7024458052416054,6.315218783536067
4767,4767,272,Al1Sc1Mo1Rh1,AlScMoRh,0.5999,0.5715178953741866,0.5443629896176773,6.349334717457626
4768,4768,273,Al1Sc1Mo1Pd1,AlScMoPd,0.5927,0.7323493388822745,0.6812179329764575,6.342158328635096
4769,4769,274,Al1Sc1Mo1Ag1,AlScMoAg,0.6324,0.5704269242019949,0.525632650858717,6.169420215579514
4770,4770,275,Al1Sc1Mo1Cd1,AlScMoCd,0.6021,0.6015820529928366,0.5757361342904422,5.912478119390087
4771,4771,276,Al1Sc1Mo1La1,AlScMoLa,0.6645,0.5270685063974712,0.5058180773539138,5.3836453297674405
4772,4772,277,Al1Sc1Mo1Hf1,AlScMoHf,0.7144,0.6345822363043643,0.5828563902096622,7.241853501209067
4773,4773,278,Al1Sc1Mo1Ta1,AlScMoTa,0.6871,0.6830645118580758,0.6239321828201755,7.700575116968084
4780,4780,285,Al1Sc1Mo1Hg1,AlScMoHg,0.5504,0.7092755735971923,0.6744802404000865,7.487015520146877
4781,4781,286,Al1Sc1Tc1Ru1,AlScTcRu,0.4151,0.5248838209162867,0.4755720241244912,6.482310778040343
4782,4782,287,Al1Sc1Tc1Rh1,AlScTcRh,0.405,0.4395981546568665,0.4082189309546253,6.516824431597121
4783,4783,288,Al1Sc1Tc1Pd1,AlScTcPd,0.3926,0.5694541658952761,0.4988753547993658,6.507139971574467
4784,4784,289,Al1Sc1Tc1Ag1,AlScTcAg,0.4318,0.935342415877394,0.7801147498694707,6.3258899862277085
4785,4785,290,Al1Sc1Tc1Cd1,AlScTcCd,0.4145,1.08091928745832,0.9558431074304,6.055535245426355
4786,4786,291,Al1Sc1Tc1La1,AlScTcLa,0.4717,0.7975754706721395,0.7163528743562296,5.4949544286816705
4787,4787,292,Al1Sc1Tc1Hf1,AlScTcHf,0.5112,1.1462480966801365,0.8799447960345763,7.405756312368758
4795,4795,300,Al1Sc1Tc1Hg1,AlScTcHg,0.3743,1.1559402407931143,0.9488209383947521,7.6501936317910415
4796,4796,301,Al1Sc1Ru1Rh1,AlScRuRh,0.5622,0.6000863203999224,0.5690259984830677,6.647539883831638
4797,4797,302,Al1Sc1Ru1Pd1,AlScRuPd,0.5654,0.6871088978020076,0.6517228553953482,6.635902260314733
4798,4798,303,Al1Sc1Ru1Ag1,AlScRuAg,0.5639,0.558993151151613,0.5295043169391229,6.448873858865833
4799,4799,304,Al1Sc1Ru1Cd1,AlScRuCd,0.4994,0.5919000089984471,0.5793738440613974,6.169200885364582
4800,4800,305,Al1Sc1Ru1La1,AlScRuLa,0.5749,0.5245403084976171,0.5091607109602615,5.585495665544767
4801,4801,306,Al1Sc1Ru1Hf1,AlScRuHf,0.6094,0.6154903330244306,0.5779520838122695,7.528848619303224
4809,4809,314,Al1Sc1Ru1Hg1,AlScRuHg,0.4605,0.6826802889228992,0.6569322657275881,7.771576040050123
