AtomicWeight,BoilingPoint,BulkModulus,el_neg,CovalentRadius,CrustAbundance,Density,FusionHeat,MeltingPoint,MolarVolume,NeutronCrossSection,SpecificHeat,ThermalConductivity,Valence,VaporizationHeat,TM_sim,label
58.16114625,2910.5,177.5,1.8675,127.5,0.0157725,8643.5,15.6,1505.75,11.2,28.54,428,94.75,3.75,368,0.851522172,1
57.3890975,2894,175,1.855,129,0.031515,8387,15,1516.5,11.4,19.88,435,89.5,3.5,361,0.851522172,1
56.61704875,2877.5,172.5,1.8425,130.5,0.0472575,8130.5,14.4,1527.25,11.6,11.22,442,84.25,3.25,354,0.851522172,1
60.0121755,2854.7,166.1,1.873,125.6,2.89E-05,8600.4,15.139,1348.476,11.86,33.77,416,92.9,3.9,363.1,0.621533431,1
60.3028755,2916.3,169.5,1.893,125.4,2.71E-05,8542.3,17.76,1439.33,12.17,33.7,411.04,96,4,370.9,0.493820223,1
165.560239,4127.8,292,2.136,138,6.00E-06,19860,24.04,2271.8,13.56,347.44,189,140,5.6,523,0.711697533,1
58.87324625,2923.5,180,1.8875,125.5,4.50E-05,8902,16.45,1485,10.975,29.025,427,97.75,3.5,375.75,0.919819783,1
58.8132975,2920,180,1.895,125,6.00E-05,8904,16.7,1475,10.95,20.85,433,95.5,3,376.5,0.919819783,1
58.75334875,2916.5,180,1.9025,124.5,7.50E-05,8906,16.95,1465,10.925,12.675,439,93.25,2.5,377.25,0.919819783,1
70.80489625,2936,180,1.96,129.25,2.25E-05,9680.75,16.325,1509.975,11.925,29.625,375.75,92.75,4,376.25,0.729435316,1
82.6765975,2945,180,2.04,132.5,1.50E-05,10461.5,16.45,1524.95,12.85,22.05,330.5,85.5,4,377.5,0.729435316,1
94.54829875,2954,180,2.12,135.75,7.50E-06,11242.25,16.575,1539.925,13.775,14.475,285.25,78.25,4,378.75,0.729435316,1
92.97089625,3151.5,192.5,1.98,128.5,2.25E-05,12037.5,17.15,1563.325,12.1,30.4,349,92.75,4.5,403.75,0.702059617,1
127.0085975,3376,205,2.08,131,1.50E-05,15175,18.1,1631.65,13.2,23.6,277,85.5,5,432.5,0.702059617,1
161.0462987,3600.5,217.5,2.18,133.5,7.53E-06,18312.5,19.05,1699.975,14.3,16.8,205,78.25,5.5,461.25,0.702059617,1
69.92627125,3119,230,1.98,130,2.25E-05,9787.5,17.575,1612.25,11.675,64.15,375.75,112.5,4.5,405,0.68240419,1
80.9193475,3311,280,2.08,134,1.50E-05,10675,18.95,1729.5,12.35,91.1,330.5,125,5,435,0.68240419,1
91.91242375,3503,330,2.18,138,7.50E-06,11562.5,20.325,1846.75,13.025,118.05,285.25,137.5,5.5,465,0.68240419,1
90.09283,2875.4,174,2.038,139,4.20E-05,10573.1,17.84,1660.53,13.92,5.76,302.4,77.9,4.6,367.7,0.502546186,1
123.54005,3248,195,1.97,137.5,7.00E-05,14320,20.25,1837.65,13.75,6.55,290.5,82.5,6,414.5,0.441066855,1
159.312025,3536.5,212.5,2.125,136.75,3.50E-05,17885,20.125,1802.975,14.575,8.275,211.75,76.75,6,452.25,0.441066855,1
92.72362,3490.2,336,2.156,141.4,2.80E-05,11398,21.46,1952.6,13.38,116.62,281.6,138.8,6,463.8,0.506103793,1
97.81456,3592.6,358,2.218,141.7,1.40E-05,11924,21.58,1958.3,13.54,130.81,260.8,144.4,6,479.4,0.506103793,1
55.05525,2379,120.65,1.762,131.4,6.03E-05,7696.25,11.585,949.008,13.255,13.863,862.24,352.75,1.85,277.05,0.479802249,1
61.39401125,2436.75,135,1.8125,133.75,0.000326,8587.5,13.125,1124.965,11.9,6.16,408.05,301.925,2.5,280,0.76458409,1
59.2420225,2311.5,130,1.725,135.5,0.000584,8215,13.15,1165.31,12,8.54,431.7,203.85,3,260,0.76458409,1
62.33285,2649.75,150,1.9025,130,7.35E-05,8947,14.125,1177.215,11.575,3.96,399.55,322.75,2,319.5,0.876927465,1
61.1197,2737.5,160,1.905,128,7.90E-05,8934,15.15,1269.81,11.35,4.14,414.7,245.5,2,339,0.876927465,1
59.90655,2825.25,170,1.9075,126,8.45E-05,8921,16.175,1362.405,11.125,4.32,429.85,168.25,2,358.5,0.876927465,1
74.2645,2662.25,150,1.975,133.75,5.10E-05,9725.75,14,1202.19,12.525,4.56,348.3,317.75,2.5,320,0.685294064,1
84.983,2762.5,160,2.05,135.5,3.40E-05,10491.5,14.9,1319.76,13.25,5.34,312.2,235.5,3,340,0.685294064,1
95.7015,2862.75,170,2.125,137.25,1.70E-05,11257.25,15.8,1437.33,13.975,6.12,276.1,153.25,3.5,360,0.685294064,1
96.4305,2877.75,162.5,1.995,133,5.10E-05,12082.5,14.825,1255.54,12.7,5.335,321.55,317.75,3,347.5,0.634098856,1
129.315,3193.5,185,2.09,134,3.40E-05,15205,16.55,1426.46,13.6,6.89,258.7,235.5,4,395,0.634098856,1
162.1995,3509.25,207.5,2.185,135,1.70E-05,18327.5,18.275,1597.38,14.5,8.445,195.85,153.25,5,442.5,0.634098856,1
71.4179,2788.6,188,1.976,134,5.44E-05,9658,14.82,1260.496,12.18,32.024,355.52,350,2.8,339,0.580121523,1
98.96955,3581.7,356,2.242,141,6.80E-06,12101,20.84,1876.062,13.51,130.878,254.44,175,5.6,475.5,0.580121523,1
89.938,3252.75,207.5,1.9225,134.25,0.04725,11555.5,16.85,1770,12.4,108.17,369.5,96.75,3.75,400.25,0.566376197,1
124.031,3644.5,245,2.015,136.5,0.0315,15237,19.9,2002,13,213.78,290,114.5,4.5,453.5,0.566376197,1
158.124,4036.25,282.5,2.1075,138.75,0.01575,18918.5,22.95,2234,13.6,319.39,210.5,132.25,5.25,506.75,0.566376197,1
55.61826125,2661,157.5,1.76,133.75,0.047525,7773,13.65,1465,11.9,5.245,456.5,61.175,3.25,315.25,0.875602829,1
55.3915225,2461,145,1.69,135.5,0.03205,7672,13.5,1392,12,7.93,464,43.35,3.5,283.5,0.875602829,1
56.5571,2874,172.5,1.85,130,0.0472725,8132.5,14.65,1517.25,11.575,3.045,448,82,2.75,354.75,0.840575169,1
57.2692,2887,175,1.87,128,0.031545,8391,15.5,1496.5,11.35,3.53,447,85,2.5,362.5,0.840575169,1
57.9813,2900,177.5,1.89,126,0.0158175,8649.5,16.35,1475.75,11.125,4.015,446,88,2.25,370.25,0.840575169,1
69.2835,3076.1,199.2,1.867,133.2,0.0567,9346.6,15.52,1687.5,12.02,3.804,417.1,79.8,3.3,375.3,0.516667922,1
68.48875,2886.5,172.5,1.9225,133.75,0.047250002,8911.25,14.525,1542.225,12.525,3.645,396.75,77,3.25,355.25,0.605635507,1
81.1325,2912,175,2.015,135.5,0.031500003,9948.5,15.25,1546.45,13.25,4.73,344.5,75,3.5,363.5,0.605635507,1
93.77625,2937.5,177.5,2.1075,137.25,0.015750005,10985.75,15.975,1550.675,13.975,5.815,292.25,73,3.75,371.75,0.605635507,1
76.73085,3005.6,179,1.8975,132.6,0.053550006,9910.4,14.73,1572.545,12.34,3.676,401.6,77.8,3.45,368.45,0.551460293,1
97.6167,3150.2,188,1.965,133.2,0.044100011,11946.8,15.66,1607.09,12.88,4.792,354.2,76.6,3.9,389.9,0.551460293,1
174.19815,3680.4,221,2.2125,135.4,0.009450031,19413.6,19.07,1733.755,14.86,8.884,180.4,72.2,5.55,468.55,0.551460293,1
67.610125,3069.5,222.5,1.9425,134.5,0.04725,9018,15.775,1644.5,12.275,38.17,396.75,96.75,3.75,384,0.570332803,1
91.140375,3486.5,327.5,2.1675,139.5,0.015750001,11306,19.725,1857.5,13.225,109.39,292.25,132.25,5.25,458,0.570332803,1
60.3675,2989.9,175,1.867,133.4,0.0567,8323.6,14.99,1617.6,11.98,2.564,427.9,83.1,3.3,370.3,0.632819905,1
182.5913,4449.1,311,2.196,142.3,1.10E-07,21368,27,2481.7,14.33,382.76,143,148.9,6,564,0.624489637,1
172.9656,4470.2,302,2.192,143.6,2.20E-07,20136,28,2497.4,14.46,340.52,155,147.8,6,568,0.624489637,1
182.285938,4459.6,305,2.14,143.3,1.70E-06,21197,26.08,2467.1,14.58,382.615,144.4,140.4,5.9,573,0.510613402,1
158.8361,4049.25,285,2.1275,136.75,2.25E-05,19177,23.8,2213.25,13.375,319.875,209.5,135.25,5,514.5,0.679151063,1
125.4552,3670.5,250,2.055,132.5,4.50E-05,15754,21.6,1960.5,12.55,214.75,288,120.5,4,469,0.679151063,1
92.0743,3291.75,215,1.9825,128.25,6.75E-05,12331,19.4,1707.75,11.725,109.625,366.5,105.75,3,423.5,0.679151063,1
183.6373,4281.5,306,2.2,140.8,9.90E-10,21542.3,25.07,2374.89,14.25,383.19,141.9,142.1,5.8,542,0.794507753,1
175.0576,4135,292,2.2,140.6,1.58E-09,20484.6,24.14,2283.78,14.3,341.38,152.8,134.2,5.6,524,0.794507753,1
192.93375,4277.25,297.5,2.22,139.75,9.55E-09,22312.5,24.5,2291.575,14.5,321.25,131.5,130.25,6,542.5,0.803740577,1
193.6505,4126.5,275,2.24,138.5,1.87E-08,22025,23,2117.15,14.8,217.5,132,110.5,6,525,0.803740577,1
194.36725,3975.75,252.5,2.26,137.25,2.79E-08,21737.5,21.5,1942.725,15.1,113.75,132.5,90.75,6,507.5,0.803740577,1
169.889125,4244.75,335,2.22,141.25,4.75E-10,20062.5,24.925,2340.5,14.075,355,158.25,150,6,543.75,0.841134693,1
147.56125,4061.5,350,2.24,141.5,5.50E-10,17525,23.85,2215,13.95,285,185.5,150,6,527.5,0.841134693,1
125.233375,3878.25,365,2.26,141.75,6.25E-10,14987.5,22.775,2089.5,13.825,215,212.75,150,6,511.25,0.841134693,1
178.54495,4386.3,305,2.2,141.75,4.90E-10,21065.5,25.955,2446.2,14.11,361.64,147.05,145.5,6,563,0.818976556,1
164.8729,4344.6,290,2.2,142.5,5.80E-10,19531,25.91,2426.4,14.02,298.28,163.1,141,6,566,0.818976556,1
191.090088,4531,308,2.13,143.9,1.70E-07,22005,27,2521.1,14.59,384.55,131.9,140.7,5.9,577.6,0.595665087,1
184.9995,4370.95,309.5,2.167,141.95,0.00033,21695.35,25.635,2426.1,14.37,404.055,150.45,143.6,5.9,553.25,0.566395345,1
178.08945,4325.9,304,2.143,142.2,1.90E-05,20951,25.68,2410.4,14.16,383.006,166.8,138.1,5.9,549.3,0.348737006,1
190.96045,4597.05,318.5,2.224,144.15,1.65E-07,22097.5,27.35,2609.4,14.455,364.01,131.15,153,6,596,0.360846941,1
103.282,3465.8,195,2.188,143.5,3.34E-07,11500.1,22.49,1875.33,14.94,5.61,243.3,91.4,4.6,446,0.59925155,1
104.851,3214.4,187.5,2.194,141.25,1.70E-07,11761.55,19.595,1715.115,14.82,6.255,241.65,81.2,4.3,413,0.59925155,1
102.21095,3789.4,365,2.268,143.2,1.11E-07,12233,23.13,2029.9,13.88,130.76,241.1,148.9,6,505.5,0.629736379,1
60.404049,3004.55,179.5,1.8945,126,8.64E-05,8891.1,17.68,1506.1,11.255,4.3325,436,89.15,2.15,393.6,0.70950238,1
101.905588,3799.9,359,2.212,144.2,1.70E-06,12062,22.21,2015.3,14.13,130.615,242.5,140.4,5.9,514.5,0.503551761,1
62.42006,3085.6,185,1.935,127,8.11E-05,9045.2,19.08,1571.8,11.36,4.31,425.6,95.8,2.4,400.2,0.819996268,1
94.48835,2950.5,180,2.1275,135.25,2.25E-05,11244.25,16.825,1529.925,13.75,6.3,291.25,76,3.5,379.5,0.736152988,1
82.5567,2938,180,2.055,131.5,4.50E-05,10465.5,16.95,1504.95,12.8,5.7,342.5,81,3,379,0.736152988,1
70.62505,2925.5,180,1.9825,127.75,6.75E-05,9686.75,17.075,1479.975,11.85,5.1,393.75,86,2.5,378.5,0.736152988,1
160.98635,3597,217.5,2.1875,133,2.25E-05,18314.5,19.3,1689.975,14.275,8.625,211,76,5,462,0.713000445,1
126.8887,3369,205,2.095,130,4.50E-05,15179,18.6,1611.65,13.15,7.25,289,81,4,434,0.713000445,1
92.79105,3141,192.5,2.0025,127,6.75E-05,12043.5,17.9,1533.325,12.025,5.875,367,86,3,406,0.713000445,1
91.852475,3499.5,330,2.1875,137.5,2.25E-05,11564.5,20.575,1836.75,13,109.875,291.25,135.25,5,465.75,0.667450832,1
80.79945,3304,280,2.095,133,4.50E-05,10679,19.45,1709.5,12.3,74.75,342.5,120.5,4,436.5,0.667450832,1
69.746425,3108.5,230,2.0025,128.5,6.75E-05,9793.5,18.325,1582.25,11.6,39.625,393.75,105.75,3,407.25,0.667450832,1
64.58939,3115.8,159.15,1.9085,127.45,7.65E-05,9296.8,18.07,1560.3,11.395,7.125,387.7,85,2.6,403.8,0.306698884,1
57.91821,2962.4,178,1.882,126.9,0.0001,8628.2,17.76,1500.5,11.19,4.556,449.4,85,2.3,385.5,0.447826631,1
57.530615,2987.1,177,1.868,128.35,0.000105,8488.3,18.04,1523.25,11.335,4.584,451.6,82,2.45,389.25,0.447826631,1
71.20806,3177.2,193,1.955,127.8,8.11E-05,9942.2,18.98,1651.7,11.4,5.89,413.7,98.9,2.4,420.2,0.479397411,1
59.36206,2712.4,169,1.884,123.8,8.88E-05,8731.2,16.215,1351.453,11.33,4.16,439.3,93.9,2,352.1,0.75880222,1
60.36505,2411.5,152.5,1.845,123.5,8.70E-05,8466,14.7375,1196.1325,11.975,3.65,430.75,98.25,2,313.25,0.75880222,1
142.201525,4287.65,416.9,2.244,142.9,1.20E-09,17017.5,25.885,2445.05,13.835,86.5,190.5,121.65,6,555.75,0.607695074,1
124.736625,4024.25,400.5,2.26,142.5,9.75E-10,14987.5,24.025,2231.25,13.775,112.5,212.5,134.25,6,528.75,0.607695074,1
111.63795,3826.7,388.2,2.272,142.2,8.10E-10,13465,22.63,2070.9,13.73,132,229,143.7,6,508.5,0.607695074,1
128.586,3178.5,192.5,2.22,138.25,1.40E-08,14379.75,17.525,1608.25,14.875,7.675,213.25,71,4.5,407.5,0.892344848,1
150.752,3394,205,2.24,137.5,2.17E-08,16736.5,18.35,1661.6,15.05,8.45,186.5,71,5,435,0.892344848,1
172.918,3609.5,217.5,2.26,136.75,2.93E-08,19093.25,19.175,1714.95,15.225,9.225,159.75,71,5.5,462.5,0.892344848,1
105.541375,3146,230,2.22,139.75,4.90E-09,12129.75,17.95,1657.175,14.45,41.425,240,90.75,4.5,408.75,0.81564503,1
104.66275,3329,280,2.24,140.5,3.50E-09,12236.5,19.2,1759.45,14.2,75.95,240,110.5,5,437.5,0.81564503,1
103.784125,3512,330,2.26,141.25,2.10E-09,12343.25,20.45,1861.725,13.95,110.475,240,130.25,5.5,466.25,0.81564503,1
95.3243,3051.8,176,2.086,141.8,3.80E-05,10840.4,17.92,1625.92,14.52,6.532,289.8,63,4.2,394.6,0.28436155,1
84.2286,3140.6,172,1.972,144.6,7.60E-05,9657.8,19.14,1696.94,14.34,6.164,339.6,55,4.4,409.2,0.28436155,1
194.1963,4002.1,244,2.242,137.5,3.36E-08,21407,21.3,1910.07,15.33,18,133.4,68.7,6.1,511.5,0.360556788,1
193.3086,4179.2,258,2.204,139,3.01E-08,21364,22.6,2051.84,15.26,26,133.8,66.4,6.2,533,0.360556788,1
192.4209,4356.3,272,2.166,140.5,2.67E-08,21321,23.9,2193.61,15.19,34,134.2,64.1,6.3,554.5,0.360556788,1
172.039375,3792.5,267.5,2.28,137.5,2.79E-08,19200,20.425,1817.225,14.975,43.75,159.75,90.75,6,491.25,0.757248987,1
148.99475,3760,305,2.28,139,1.89E-08,16950,20.85,1866.15,14.55,77.5,186.5,110.5,6,492.5,0.757248987,1
125.950125,3727.5,342.5,2.28,140.5,9.78E-09,14700,21.275,1915.075,14.125,111.25,213.25,130.25,6,493.75,0.757248987,1
171.5805,3906.25,227.5,2.26,138.5,2.80E-08,19180,21.425,1909.725,14.95,8.15,159.25,83.25,6,512.5,0.831733166,1
148.077,3987.5,225,2.24,141,1.90E-08,16910,22.85,2051.15,14.5,6.3,185.5,95.5,6,535,0.831733166,1
166.2555,3741.4,216,2.15,139.4,3.80E-05,18382,20.56,1796.64,15.08,9.012,204.2,63,5.8,482.6,0.327919021,1
137.427,3657.8,202,2.02,142.8,7.60E-05,15314,21.12,1824.98,14.76,8.024,275.4,55,5.6,475.2,0.327919021,1
175.6284,3387.3,206,2.1855,133.9,1.17E-05,19303.5,18.1025,1565.9845,15.37,8.665,171.25,78.35,5.4,434.35,0.417448329,1
179.505,3912.6,209.165,2.1375,141.85,1.95E-05,19209.15,20.15,1781.305,16.585,8.5276,154.75,63.8,5.7,503.5,0.504362114,1
102.630175,3763.25,356,2.268,142.6,7.45E-10,12438,22.3,2019.5,13.685,123.64,239.7,145.5,6,507.75,0.83233638,1
102.35485,3831.5,332,2.256,143.2,7.90E-10,12426,22.9,2075,13.67,102.28,239.4,141,6,520.5,0.83233638,1
110.709738,3871.3,362,2.202,144.8,1.71E-07,12870,23.13,2069.3,14.14,132.55,230,140.7,5.9,519.1,0.564897296,1
97.7091,3666.2,358,2.215,143.1,1.90E-05,11816,21.81,1958.6,13.71,131.006,264.9,138.1,5.9,490.8,0.338093005,1
110.99895,3881,373,2.288,144,1.11E-07,13130,23.03,2109.8,13.92,132.34,229.2,152,6,525.5,0.359163304,1
194.5986,3943.7,253.2,2.272,136.8,3.35E-08,21565,21.1,1894.77,15.26,10.5,132.7,72.6,6,504,0.471802069,1
194.1132,4062.4,276.4,2.264,137.6,3.00E-08,21680,22.2,2021.24,15.12,11,132.4,74.2,6,518,0.471802069,1
137.8353,4221.8,412.8,2.248,142.8,1.14E-09,16510,25.42,2391.6,13.82,93,196,124.8,6,549,0.607695074,1
120.3704,3958.4,396.4,2.264,142.4,9.20E-10,14480,23.56,2177.8,13.76,119,218,137.4,6,522,0.607695074,1
209.2551875,4437.5,47.75,1.2575,205.25,6.65E-06,10453,9.75,1545.25,33.48243355,8.4,136.75,43.75,4,480,0.433755535,1
186.472675,4055,41.5,1.215,204.5,7.30E-06,9182,8.8,1340.5,34.08828904,9.4,155.5,33.5,4,430,0.433755535,1
163.6901625,3672.5,35.25,1.1725,203.75,7.95E-06,7911,7.85,1135.75,34.69414452,10.4,174.25,23.25,4,380,0.433755535,1
205.087475,1542,43.75,1.7975,145.25,2.91E-06,11722.5,4.3425,309.865,29.125,2.59275,128.5,43.25,3.25,168.25,0.695641347,1
205.79165,1611,44.5,1.975,145.5,5.27E-06,11595,4.485,315.73,29.55,1.7855,128,40.5,3.5,171.5,0.695641347,1
206.495825,1680,45.25,2.1525,145.75,7.64E-06,11467.5,4.6275,321.595,29.975,0.97825,127.5,37.75,3.75,174.75,0.695641347,1
210.088775,4390,48.5,1.26,204.75,1.28E-05,10545.5,9.8,1567.75,33.20743355,17.8,136,44.75,3.75,468.75,0.47973335,1
188.13985,3960,43,1.22,203.5,1.95E-05,9367,8.9,1385.5,33.53828904,28.2,154,35.5,3.5,407.5,0.47973335,1
166.190925,3530,37.5,1.18,202.25,2.63E-05,8188.5,8,1203.25,33.86914452,38.6,172,26.25,3.25,346.25,0.47973335,1
138.496806,3825,55.5,1.33,188,1.60E-05,7354.5,13.35,1645.5,28.93828904,17.3,342.5,35,3.5,424,0.493804178,1
175.9131636,4223,54.9,1.318,195.2,1.20E-05,9102.3,12.29,1687.3,30.51360465,13.34,252.7,42.6,3.7,466.4,0.493804178,1
