AtomicWeight,BoilingPoint,BulkModulus,el_neg,CovalentRadius,CrustAbundance,Density,FusionHeat,MeltingPoint,MolarVolume,NeutronCrossSection,SpecificHeat,ThermalConductivity,Valence,VaporizationHeat,Phase
49.7168,2769.68,150.662,1.77248,128.157,0.0305667,6969.25,15.5162,1386.38,12.6155,9.21327,545.586,123.588,3.58027,344.644,1
103.312,4555.2,175,1.694,161.2,1.53E-05,9643,25.37,2335.72,17.9,10.905,251.41,80.6,5,654,0
162.374,4422.5,169.5,1.745,182.5,4.85E-06,12945,20.95,2176.5,25.6,14.9,162.5,91.5,5,565,1
171.376,4937.4,415.6,2.192,146,2.21E-07,20136,32,2951,14.3,12.52,154.2,97.4,6,624,0
59.3572,2892.85,169,1.741,140.05,0.000119,7967,21.28,1971.05,12.325,3.025,416.5,97.9,6,375.15,0
181.511,5406.5,206,1.535,168.55,1.62E-06,16947.5,35.5,2989.45,17.905,40.725,139.55,61.65,5.05,727.2,0
93.9915,3323.5,66,1.33,182,0.00333,5598,12.1,1233,26.2,3.35,356,16.5,4,387.5,1
102.211,3789.4,365,2.268,143.2,1.11E-07,12233,23.13,2029.9,13.88,130.76,241.1,148.9,6,505.5,0
128.586,3178.5,192.5,2.22,138.25,1.40E-08,14379.8,17.525,1608.25,14.875,7.675,213.25,71,4.5,407.5,0
140.986,1784.25,9.275,0.9675,210.75,0.00025545,3943.5,8.325,750.75,60.775,1143.47,199.25,17,2.25,148.75,0
92.2705,2138,41,1.795,132,9.58E-06,6607,4.425,93.18,22.85,98.45,302,55.5,3,243,1
96.471,4590.1,229,2.164,153.2,9.90E-07,10489,34.97,2594.1,15.31,2.6,249.7,137.1,6,598,0
56.95,2577.43,152.857,1.75857,132.714,0.00936971,8111.43,15.4571,1418.8,11.7,6.43429,447.057,110.057,3.28571,311.714,1
59.6955,2711.5,155,1.865,132,0.031534,8417,13.45,1311.31,11.8,3.17,416.7,239.5,2.5,323.5,1
187.095,5418.9,356,1.938,149.5,6.04E-09,21063,31.7,3044.23,14.77,82,136.6,50.3,6.9,683.5,0
145.108,4346.5,180.5,2.05,144,2.00E-10,17050,24.5,2311.5,14.2,223.5,97,100.5,6,555,0
54.3765,3398.33,132.444,1.60222,148.333,0.0195282,5662.67,19.8333,1704.18,16.0111,3.13178,533.778,86.4444,4.44444,451.222,0
